ordinal	requested_at_utc	label	url	status	bytes	content_type	outcome	sha256
1	2026-08-31T00:38:17+00:00	q1_baseline_unkeyed	https://api.open-meteo.com/v1/previous-runs?daily=temperature_2m_max%2Ctemperature_2m_max_previous_day1%2Ctemperature_2m_max_previous_day2%2Ctemperature_2m_max_previous_day3&latitude=40.78333&longitude=-73.96667&timezone=UTC	404	35	application/json; charset=utf-8	ok	0ea38162214142fdea32440c7736f67d9a044d1007087e3dcd08258ba4eede55
2	2026-08-31T00:38:18+00:00	q2_previous_day_7	https://api.open-meteo.com/v1/previous-runs?daily=temperature_2m_max%2Ctemperature_2m_max_previous_day1%2Ctemperature_2m_max_previous_day2%2Ctemperature_2m_max_previous_day3%2Ctemperature_2m_max_previous_day4%2Ctemperature_2m_max_previous_day5%2Ctemperature_2m_max_previous_day6%2Ctemperature_2m_max_previous_day7&latitude=40.78333&longitude=-73.96667&timezone=UTC	404	35	application/json; charset=utf-8	ok	0b44cbb9397adb7150163d190dcba431be0c30482a44d99a192a88b7edfd9652
3	2026-08-31T00:38:20+00:00	q2_previous_day_boundary_probe	https://api.open-meteo.com/v1/previous-runs?daily=temperature_2m_max_previous_day8&latitude=40.78333&longitude=-73.96667&timezone=UTC	404	35	application/json; charset=utf-8	ok	0ea38162214142fdea32440c7736f67d9a044d1007087e3dcd08258ba4eede55
4	2026-08-31T00:38:21+00:00	q2_previous_day_far_boundary	https://api.open-meteo.com/v1/previous-runs?daily=temperature_2m_max_previous_day16&latitude=40.78333&longitude=-73.96667&timezone=UTC	404	35	application/json; charset=utf-8	ok	0ea38162214142fdea32440c7736f67d9a044d1007087e3dcd08258ba4eede55
5	2026-08-31T00:38:23+00:00	q2_hourly_variable_naming	https://api.open-meteo.com/v1/previous-runs?end_date=2026-08-29&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&start_date=2026-08-29&timezone=UTC	404	35	application/json; charset=utf-8	ok	0ea38162214142fdea32440c7736f67d9a044d1007087e3dcd08258ba4eede55
6	2026-08-31T00:38:25+00:00	q3_archive_depth_2024	https://api.open-meteo.com/v1/previous-runs?daily=temperature_2m_max%2Ctemperature_2m_max_previous_day1&end_date=2024-01-07&latitude=40.78333&longitude=-73.96667&start_date=2024-01-01&timezone=UTC	404	35	application/json; charset=utf-8	ok	0b44cbb9397adb7150163d190dcba431be0c30482a44d99a192a88b7edfd9652
7	2026-08-31T00:38:26+00:00	q3_archive_depth_2022	https://api.open-meteo.com/v1/previous-runs?daily=temperature_2m_max%2Ctemperature_2m_max_previous_day1&end_date=2022-01-07&latitude=40.78333&longitude=-73.96667&start_date=2022-01-01&timezone=UTC	404	35	application/json; charset=utf-8	ok	0ea38162214142fdea32440c7736f67d9a044d1007087e3dcd08258ba4eede55
8	2026-08-31T00:38:28+00:00	q3_archive_depth_2019	https://api.open-meteo.com/v1/previous-runs?daily=temperature_2m_max%2Ctemperature_2m_max_previous_day1&end_date=2019-01-07&latitude=40.78333&longitude=-73.96667&start_date=2019-01-01&timezone=UTC	404	35	application/json; charset=utf-8	ok	0b44cbb9397adb7150163d190dcba431be0c30482a44d99a192a88b7edfd9652
9	2026-08-31T00:38:29+00:00	q4_anchor_daily_window	https://api.open-meteo.com/v1/previous-runs?daily=temperature_2m_max%2Ctemperature_2m_max_previous_day1%2Ctemperature_2m_max_previous_day2%2Ctemperature_2m_max_previous_day3%2Ctemperature_2m_max_previous_day4%2Ctemperature_2m_max_previous_day5&end_date=2026-08-29&latitude=40.78333&longitude=-73.96667&start_date=2026-08-23&timezone=UTC	404	35	application/json; charset=utf-8	ok	0ea38162214142fdea32440c7736f67d9a044d1007087e3dcd08258ba4eede55
10	2026-08-31T00:38:31+00:00	q4_anchor_single_day_control	https://api.open-meteo.com/v1/previous-runs?daily=temperature_2m_max%2Ctemperature_2m_max_previous_day1%2Ctemperature_2m_max_previous_day2%2Ctemperature_2m_max_previous_day3%2Ctemperature_2m_max_previous_day4%2Ctemperature_2m_max_previous_day5&end_date=2026-08-29&latitude=40.78333&longitude=-73.96667&start_date=2026-08-29&timezone=UTC	404	35	application/json; charset=utf-8	ok	0b44cbb9397adb7150163d190dcba431be0c30482a44d99a192a88b7edfd9652
11	2026-08-31T00:38:32+00:00	q4_anchor_second_site	https://api.open-meteo.com/v1/previous-runs?daily=temperature_2m_max%2Ctemperature_2m_max_previous_day1%2Ctemperature_2m_max_previous_day2%2Ctemperature_2m_max_previous_day3%2Ctemperature_2m_max_previous_day4%2Ctemperature_2m_max_previous_day5&end_date=2026-08-29&latitude=37.61961&longitude=-122.36558&start_date=2026-08-23&timezone=UTC	404	35	application/json; charset=utf-8	ok	0ea38162214142fdea32440c7736f67d9a044d1007087e3dcd08258ba4eede55
12	2026-08-31T00:38:34+00:00	q5_publication_lag_today	https://api.open-meteo.com/v1/previous-runs?forecast_days=2&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&past_days=1&timezone=UTC	404	35	application/json; charset=utf-8	ok	0ea38162214142fdea32440c7736f67d9a044d1007087e3dcd08258ba4eede55
13	2026-08-31T00:38:36+00:00	q5_publication_lag_yesterday	https://api.open-meteo.com/v1/previous-runs?end_date=2026-08-31&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&start_date=2026-08-30&timezone=UTC	404	35	application/json; charset=utf-8	ok	0b44cbb9397adb7150163d190dcba431be0c30482a44d99a192a88b7edfd9652
14	2026-08-31T00:38:37+00:00	q6_restatement_key_capture	https://api.open-meteo.com/v1/previous-runs?daily=temperature_2m_max%2Ctemperature_2m_max_previous_day1%2Ctemperature_2m_max_previous_day2%2Ctemperature_2m_max_previous_day3&end_date=2026-08-29&latitude=40.78333&longitude=-73.96667&models=best_match&start_date=2026-08-23&timezone=UTC	404	35	application/json; charset=utf-8	ok	0ea38162214142fdea32440c7736f67d9a044d1007087e3dcd08258ba4eede55
15	2026-08-31T00:38:39+00:00	q6_restatement_key_capture_older	https://api.open-meteo.com/v1/previous-runs?daily=temperature_2m_max%2Ctemperature_2m_max_previous_day1%2Ctemperature_2m_max_previous_day2%2Ctemperature_2m_max_previous_day3&end_date=2025-01-12&latitude=40.78333&longitude=-73.96667&models=best_match&start_date=2025-01-06&timezone=UTC	404	35	application/json; charset=utf-8	ok	0b44cbb9397adb7150163d190dcba431be0c30482a44d99a192a88b7edfd9652
16	2026-08-31T00:38:40+00:00	q7_model_best_match	https://api.open-meteo.com/v1/previous-runs?daily=temperature_2m_max%2Ctemperature_2m_max_previous_day1&end_date=2026-08-29&latitude=40.78333&longitude=-73.96667&models=best_match&start_date=2026-08-29&timezone=UTC	404	35	application/json; charset=utf-8	ok	0b44cbb9397adb7150163d190dcba431be0c30482a44d99a192a88b7edfd9652
17	2026-08-31T00:38:42+00:00	q7_model_ecmwf_ifs025	https://api.open-meteo.com/v1/previous-runs?daily=temperature_2m_max%2Ctemperature_2m_max_previous_day1&end_date=2026-08-29&latitude=40.78333&longitude=-73.96667&models=ecmwf_ifs025&start_date=2026-08-29&timezone=UTC	404	35	application/json; charset=utf-8	ok	0ea38162214142fdea32440c7736f67d9a044d1007087e3dcd08258ba4eede55
18	2026-08-31T00:38:43+00:00	q7_model_gfs_seamless	https://api.open-meteo.com/v1/previous-runs?daily=temperature_2m_max%2Ctemperature_2m_max_previous_day1&end_date=2026-08-29&latitude=40.78333&longitude=-73.96667&models=gfs_seamless&start_date=2026-08-29&timezone=UTC	404	35	application/json; charset=utf-8	ok	0b44cbb9397adb7150163d190dcba431be0c30482a44d99a192a88b7edfd9652
19	2026-08-31T00:38:45+00:00	q7_model_icon_seamless	https://api.open-meteo.com/v1/previous-runs?daily=temperature_2m_max%2Ctemperature_2m_max_previous_day1&end_date=2026-08-29&latitude=40.78333&longitude=-73.96667&models=icon_seamless&start_date=2026-08-29&timezone=UTC	404	35	application/json; charset=utf-8	ok	0ea38162214142fdea32440c7736f67d9a044d1007087e3dcd08258ba4eede55
20	2026-08-31T00:38:46+00:00	q7_model_meteofrance_seamless	https://api.open-meteo.com/v1/previous-runs?daily=temperature_2m_max%2Ctemperature_2m_max_previous_day1&end_date=2026-08-29&latitude=40.78333&longitude=-73.96667&models=meteofrance_seamless&start_date=2026-08-29&timezone=UTC	404	35	application/json; charset=utf-8	ok	0ea38162214142fdea32440c7736f67d9a044d1007087e3dcd08258ba4eede55
21	2026-08-31T00:38:48+00:00	q8_licence_and_error_shape	https://api.open-meteo.com/v1/previous-runs	404	35	application/json; charset=utf-8	ok	0b44cbb9397adb7150163d190dcba431be0c30482a44d99a192a88b7edfd9652
