ordinal	requested_at_utc	label	url	status	bytes	content_type	outcome	sha256
1	2026-08-31T01:39:14+00:00	afd_nyc	https://mesonet.agron.iastate.edu/cgi-bin/afos/retrieve.py?edate=2026-08-31T00%3A00Z&fmt=text&limit=60&order=asc&pil=AFDOKX&sdate=2026-08-10T00%3A00Z	200	364281	text/plain; charset=UTF-8	ok	a18192b11647e65ed70f96155b468f408ea1ea0e5a05d231970116bde2188764
2	2026-08-31T01:39:17+00:00	zfp_nyc	https://mesonet.agron.iastate.edu/cgi-bin/afos/retrieve.py?edate=2026-08-31T00%3A00Z&fmt=text&limit=60&order=asc&pil=ZFPOKX&sdate=2026-08-10T00%3A00Z	200	3341327	text/plain; charset=UTF-8	ok	e450c379ca5c0e53de23cbdcbedcfc88942d58d8ca5586eca325e6298893bf74
3	2026-08-31T01:39:19+00:00	afd_mdw	https://mesonet.agron.iastate.edu/cgi-bin/afos/retrieve.py?edate=2026-08-31T00%3A00Z&fmt=text&limit=60&order=asc&pil=AFDLOT&sdate=2026-08-10T00%3A00Z	200	385891	text/plain; charset=UTF-8	ok	ea409b58840b77c244fbe3c4901a91de98a38bb2861e7ec29d9835ebd348a049
4	2026-08-31T01:39:22+00:00	zfp_mdw	https://mesonet.agron.iastate.edu/cgi-bin/afos/retrieve.py?edate=2026-08-31T00%3A00Z&fmt=text&limit=60&order=asc&pil=ZFPLOT&sdate=2026-08-10T00%3A00Z	200	4102198	text/plain; charset=UTF-8	ok	f971a2cd70ab3fb27a3fddae1d19e296e183b4f3c8af1dec1fcc36fce2427bbe
