ordinal	requested_at_utc	label	url	status	bytes	content_type	outcome	sha256
1	2026-08-31T00:58:49+00:00	discovery_regular_forecast_endpoint_daily	https://api.open-meteo.com/v1/forecast?daily=temperature_2m_max%2Ctemperature_2m_max_previous_day1&forecast_days=3&latitude=40.78333&longitude=-73.96667&timezone=UTC	400	171	application/json; charset=utf-8	http_400	dbf944daf41039e647ce4cd62524c27d8fb888011e9281894ee5b843f696c0fe
2	2026-08-31T00:58:51+00:00	discovery_regular_forecast_endpoint_hourly	https://api.open-meteo.com/v1/forecast?forecast_days=3&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&timezone=UTC	200	2423	application/json; charset=utf-8	ok	b53b3c1b46d5d24a1fde42e86a0e3178e7195131f8fe8d2e66d70f5db2d3ac32
3	2026-08-31T00:58:52+00:00	discovery_dedicated_previous_runs_host_daily	https://previous-runs-api.open-meteo.com/v1/forecast?daily=temperature_2m_max%2Ctemperature_2m_max_previous_day1&forecast_days=3&latitude=40.78333&longitude=-73.96667&timezone=UTC	400	171	application/json; charset=utf-8	http_400	dbf944daf41039e647ce4cd62524c27d8fb888011e9281894ee5b843f696c0fe
4	2026-08-31T00:58:54+00:00	discovery_dedicated_previous_runs_host_hourly	https://previous-runs-api.open-meteo.com/v1/forecast?forecast_days=3&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&timezone=UTC	200	2422	application/json; charset=utf-8	ok	5b02e2272ef1bfc81d189e7f4f3b71c4face60d1cf1c84529575b372eeea57a6
5	2026-08-31T00:58:54+00:00	q2_previous_day_ladder	https://previous-runs-api.open-meteo.com/v1/forecast?hourly=temperature_2m%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Ctemperature_2m_previous_day3%2Ctemperature_2m_previous_day4%2Ctemperature_2m_previous_day5%2Ctemperature_2m_previous_day6%2Ctemperature_2m_previous_day7&latitude=40.78333&longitude=-73.96667&timezone=UTC	200	10666	application/json; charset=utf-8	ok	32d86cb189577a59e67d6161a44a842168c5c6ad6bd6025f2ba9d697f81320a3
6	2026-08-31T00:58:56+00:00	q2_previous_day_boundary_probe	https://previous-runs-api.open-meteo.com/v1/forecast?hourly=temperature_2m_previous_day8&latitude=40.78333&longitude=-73.96667&timezone=UTC	200	4326	application/json; charset=utf-8	ok	31aa0c5ca2e1df5799cdf15b9e1996f17ad3b69727c795a10e4b65f10f97e7e5
7	2026-08-31T00:58:57+00:00	q2_other_surface_variable_naming	https://previous-runs-api.open-meteo.com/v1/forecast?daily=temperature_2m_max%2Ctemperature_2m_max_previous_day1&forecast_days=2&latitude=40.78333&longitude=-73.96667&timezone=UTC	400	171	application/json; charset=utf-8	http_400	dbf944daf41039e647ce4cd62524c27d8fb888011e9281894ee5b843f696c0fe
8	2026-08-31T00:58:59+00:00	q3_archive_depth_2024	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2024-01-07&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&start_date=2024-01-01&timezone=UTC	200	5081	application/json; charset=utf-8	ok	78c4f5cff88c2bc227b0cdc6e2d6b7ae0f3e9f3b117cf23fb250f00e037bfc34
9	2026-08-31T00:59:01+00:00	q3_archive_depth_2022	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2022-01-07&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&start_date=2022-01-01&timezone=UTC	200	5058	application/json; charset=utf-8	ok	c263217750e8c426ccfd476868e7daf2b235cfe912dbfe01502486a53991e4ea
10	2026-08-31T00:59:02+00:00	q3_archive_depth_2019	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2019-01-07&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&start_date=2019-01-01&timezone=UTC	200	5079	application/json; charset=utf-8	ok	7cfed1377bd8438b4e3e3103a8adec7a6517bb76584920eee1eb5581cb6ea09b
11	2026-08-31T00:59:04+00:00	q4_anchor_daily_window	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-08-29&hourly=temperature_2m%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Ctemperature_2m_previous_day3%2Ctemperature_2m_previous_day4%2Ctemperature_2m_previous_day5&latitude=40.78333&longitude=-73.96667&start_date=2026-08-23&timezone=UTC	200	8846	application/json; charset=utf-8	ok	c7045e87ee38803860c1c7165927f2c84fdbc919ddfa0bca780b130b83e4af0d
