ordinal	requested_at_utc	label	url	status	bytes	content_type	outcome	sha256
12	2026-08-31T00:59:05+00:00	q4_anchor_single_day_control	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-08-29&hourly=temperature_2m%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Ctemperature_2m_previous_day3%2Ctemperature_2m_previous_day4%2Ctemperature_2m_previous_day5&latitude=40.78333&longitude=-73.96667&start_date=2026-08-29&timezone=UTC	200	1791	application/json; charset=utf-8	ok	a44a0e1ff955f7693ece7837f6a0b84a85b74fca1878691a8a5d6f14f60a3e25
13	2026-08-31T00:59:07+00:00	q4_anchor_second_site	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-08-29&hourly=temperature_2m%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Ctemperature_2m_previous_day3%2Ctemperature_2m_previous_day4%2Ctemperature_2m_previous_day5&latitude=37.61961&longitude=-122.36558&start_date=2026-08-23&timezone=UTC	200	8848	application/json; charset=utf-8	ok	959959f44ae83efe588f95ddd5477a29a73c75c0cd3f52a10dbfd6c6858c8e70
14	2026-08-31T00:59:08+00:00	q5_publication_lag_today	https://previous-runs-api.open-meteo.com/v1/forecast?forecast_days=2&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&past_days=1&timezone=UTC	200	2422	application/json; charset=utf-8	ok	47be003d3e6f4c8e96de9b803d0e8710b604a753e9528e5c0e41664fdd8b7d40
15	2026-08-31T00:59:10+00:00	q5_publication_lag_yesterday	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-08-31&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&start_date=2026-08-30&timezone=UTC	200	1727	application/json; charset=utf-8	ok	e18c993c32b7969add402001d13416823c8b7d97b11f2acbb4435401ba17ebf7
16	2026-08-31T00:59:11+00:00	q6_restatement_key_capture	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-08-29&hourly=temperature_2m%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Ctemperature_2m_previous_day3&latitude=40.78333&longitude=-73.96667&models=best_match&start_date=2026-08-23&timezone=UTC	200	7026	application/json; charset=utf-8	ok	f87a5d3fcb2346cf5845687317c5a5cd67eeedca37b980c047404952dc1b3116
17	2026-08-31T00:59:13+00:00	q6_restatement_key_capture_older	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2025-01-12&hourly=temperature_2m%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Ctemperature_2m_previous_day3&latitude=40.78333&longitude=-73.96667&models=best_match&start_date=2025-01-06&timezone=UTC	200	6927	application/json; charset=utf-8	ok	a2b50569b2c1fb8bcc96486618b85b93d9a5590fcb6899a82cb929319d09f15e
18	2026-08-31T00:59:15+00:00	q7_model_best_match	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-08-29&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&models=best_match&start_date=2026-08-29&timezone=UTC	200	1031	application/json; charset=utf-8	ok	3923fcdf2547aace17d45ca603b0bc547725e00b9bfc3b6016b52e4d3e179495
19	2026-08-31T00:59:16+00:00	q7_model_ecmwf_ifs025	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-08-29&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&models=ecmwf_ifs025&start_date=2026-08-29&timezone=UTC	200	1023	application/json; charset=utf-8	ok	978519842bda725502a249d69e9739dad02e5fcf63c1db5ef3c9fd08b5caf599
20	2026-08-31T00:59:18+00:00	q7_model_gfs_seamless	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-08-29&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&models=gfs_seamless&start_date=2026-08-29&timezone=UTC	200	1031	application/json; charset=utf-8	ok	e5e1f5df7cde7218756389e4640d5d77383b975ba60de2d8738975fca811744c
21	2026-08-31T00:59:19+00:00	q7_model_icon_seamless	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-08-29&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&models=icon_seamless&start_date=2026-08-29&timezone=UTC	200	1024	application/json; charset=utf-8	ok	47f778959045379ab681f766f8817037a8801aeec1d29cd48d63075a7ad5f06a
22	2026-08-31T00:59:21+00:00	q7_model_meteofrance_seamless	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-08-29&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&models=meteofrance_seamless&start_date=2026-08-29&timezone=UTC	200	1024	application/json; charset=utf-8	ok	0f7ec73e24a4492be073ab22f8d233d77fb4a7a19e5be9f00d2bb1497578f239
23	2026-08-31T00:59:22+00:00	q8_licence_and_terms_capture	https://previous-runs-api.open-meteo.com/v1/forecast?forecast_days=1&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&timezone=UTC	200	1031	application/json; charset=utf-8	ok	5271379e5a4b914e374629ebd6377fd25e1f367e4a59443b97461a8b3e0bf135
24	2026-08-31T00:59:24+00:00	q9_largest_plausible_payload	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-08-29&hourly=temperature_2m%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Ctemperature_2m_previous_day3&latitude=40.78333&longitude=-73.96667&start_date=2026-08-23&timezone=UTC	200	7026	application/json; charset=utf-8	ok	7e04ba5beed2f51c971a5a27b25f0b0f8f22c0a7c74e51d7ff312b35b78a983c
